,bigcity,fetterman,oz,smalltown
bigcity, ,0.8131805341551103,1.0738737663164597,0.1190445309122352
fetterman, , ,1.6806609021593726,0.7428818955231935
oz, , , ,0.9516740436823387
smalltown, , , , 
