,id,location,created_at,username,,following,followers,retweetcount,favorite,text
24,1.57E+18,"charlottesville, va",9/25/22 20:45,JMilesColeman,,4961,50438,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
25,1.57E+18,indiana,9/25/22 20:42,NotVisclosky,,971,770,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
26,1.57E+18,,9/25/22 20:39,sof858usa,,529,246,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
27,1.57E+18,,9/25/22 20:32,Susiescelfo,,182,143,0,1,"@ToddRaptor1 @Politics_Polls @YouGovAmerica @CBSNewsPoll My prediction for the Senate is R+1. I think R's will hold WI, OH, &amp; FL. NV will flip Red. PA is a likely flip for the D's. GA is a tossup"
28,1.57E+18,,9/25/22 20:32,cinyc9,,719,7894,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
29,1.57E+18,hell.,9/25/22 20:26,Shaymunie,,259,179,34,0,"Don't send money to a guy who's going to lose to Marjorie Taylor Greene by 20 points. Send it to someone in a winnable Senate race (WI, NV, PA, AZ, NH, maybe FL/NC), or send it to a candidate for governor or sec of state who's running a winnable race against an election denier. https://t.co/Tjp9F3kEyX"
30,1.57E+18," bigcity , pa",9/25/22 20:26,Athenas_Son_V,,1682,1191,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
31,1.57E+18,nyc,9/25/22 20:26,charlesazorn,,5000,1472,13,0,"Donate to the Flippable Five, senate seats the Democrats can flip. Donations are split between NC Cheri Beasley, WI Mandela Barnes, OH Tim Ryan, PA John Fetterman, and FL Val Demings.

https://t.co/ilLxca16hb"
32,1.57E+18,"boulder, colorado",9/25/22 20:25,taichinow,,2781,1136,0,0,Support John Fetterman for PA Senate! â€” Donate via ActBlue https://t.co/nFPShFTlsR
33,1.57E+18,781/617/203,9/25/22 20:23,Thorongil16,,2031,11190,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
34,1.57E+18,bc,9/25/22 20:22,Pallas_ca,,414,814,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
35,1.57E+18,,9/25/22 20:22,BlentCaleb,,51,7,0,0,@StephanieT313 @julie_kelly2 PA had a MAGA Senate candidate but Rove and Co took him down
36,1.57E+18,"lindenhurst, il ",9/25/22 20:22,MichaelFromIL,,5001,2482,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
37,1.57E+18,nj sheyichbi/los angeles,9/25/22 20:22,Polit_eurOpines,,915,1324,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
38,1.57E+18,"florida, usa",9/25/22 20:22,JSNai99,,1670,575,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
39,1.57E+18,pa,9/25/22 20:20,LTDan2621,,321,293,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
40,1.57E+18,,9/25/22 20:19,CherylR01091480,,748,205,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
41,1.57E+18,,9/25/22 20:19,RubyDo77888282,,469,350,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
42,1.57E+18,"dickson, tn",9/25/22 20:16,RickRob33342772,,854,212,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
43,1.57E+18,"pennsylvania, usa",9/25/22 20:16,CarlaHSands,,756,53243,11,18,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
44,1.57E+18,kentucky,9/25/22 20:16,exvangelicalSue,,1448,281,1,0,"@JoshShapiroPA @exvangelicalSue Vote for @JoshShapiroPA  for PA Governor

Vote for @JohnFetterman for US Senate

Vote for @realDonaldTrump for Prison Inmate

(""What do you Mean that one's not on the ballot!?"")"
