,id,concatenated,created_at,username,,following,followers,retweetcount,favorite,text,location
13,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",9/25/22 20:59,EmmaRaines20,,3613,899,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",
14,1.57E+18,"@JoshShapiroPA #Handled   #Next 

Vote for @JoshShapiroPA  for PA Governor

Vote for @JohnFetterman for US Senate",9/25/22 20:56,Auto_Bond,,726,749,0,1,"@JoshShapiroPA #Handled   #Next 

Vote for @JoshShapiroPA  for PA Governor

Vote for @JohnFetterman for US Senate",
15,1.57E+18,"We're concerned to see failed state senate candidate Mike MillerÃ¢â‚¬â„¢s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: Ã°Å¸Â§Âµ https://t.co/9ZH4tqWRsEcolumbia, pa",9/25/22 20:55,Robert_Lasagna,,668,87,9,0,"We're concerned to see failed state senate candidate Mike MillerÃ¢â‚¬â„¢s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: Ã°Å¸Â§Âµ https://t.co/9ZH4tqWRsE","columbia, pa"
16,1.57E+18,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2united states of america,9/25/22 20:52,DavidJacobsJr,,308,211,11,0,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2,united states of america
17,1.57E+18,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? https://t.co/rlPi1wLga0,9/25/22 20:51,BeckyYeager7,,218,215,4,0,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? https://t.co/rlPi1wLga0,
18,1.57E+18,"Newsmax: John Fetterman Is a Radical Leftist - When Will Pa. Find Out? Read John Gizzi's Report https://t.co/wOR1CSaFLTmars, pa",9/25/22 20:50,key7759,,1839,1381,2,0,Newsmax: John Fetterman Is a Radical Leftist - When Will Pa. Find Out? Read John Gizzi's Report https://t.co/wOR1CSaFLT,"mars, pa"
19,1.57E+18,"I'm not in PA, but I hope Fetterman goes to the Senate to represent the people he clearly gives a damn about. 

If only every senator was so genuine. https://t.co/Nmp7n8TkbXred turning purple, usa",9/25/22 20:49,ratfink6923,,386,776,0,0,"I'm not in PA, but I hope Fetterman goes to the Senate to represent the people he clearly gives a damn about. 

If only every senator was so genuine. https://t.co/Nmp7n8TkbX","red turning purple, usa"
20,1.57E+18,"John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? https://t.co/EmBoVoMpps smalltown , pa",9/25/22 20:48,ericewei,,197,22,0,0,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? https://t.co/EmBoVoMpps," smalltown , pa"
21,1.57E+18,"DDHQ Forecast Update: Sept. 20

New Senate Polls:
GA via U. Georgia SPIA: Walker (R)+1.6
GA via Marist: Warnock (D)+5
WI via Siena: Barnes (D)+1

New House Polls:
PA-08 via Greenberg Quinlan Rosner: Cartwright (D)+8

Watch our latest forecast video here: https://t.co/rJBA97IYr1 https://t.co/IG0mYM1Sor",9/25/22 20:46,dw_subbed,,744,447,5,0,"DDHQ Forecast Update: Sept. 20

New Senate Polls:
GA via U. Georgia SPIA: Walker (R)+1.6
GA via Marist: Warnock (D)+5
WI via Siena: Barnes (D)+1

New House Polls:
PA-08 via Greenberg Quinlan Rosner: Cartwright (D)+8

Watch our latest forecast video here: https://t.co/rJBA97IYr1 https://t.co/IG0mYM1Sor",
22,1.57E+18,Good to see @CheriBeasleyNC on national TV. I still think this is DemocratsÃ¢â‚¬â„¢ best Senate pickup opportunity after PA. https://t.co/RR5y4aqaEWthe world,9/25/22 20:46,Gyggy,,5000,2057,13,0,Good to see @CheriBeasleyNC on national TV. I still think this is DemocratsÃ¢â‚¬â„¢ best Senate pickup opportunity after PA. https://t.co/RR5y4aqaEW,the world
23,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",9/25/22 20:45,RealLPerezLA,,3492,565,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",
