,character,fetterman,health,oz,school,women
character, ,1.5143176346929776,2.9336365685250057,2.277559904950208,0.03082736229287953,3.1324815797229593
fetterman, , ,1.4623249675305894,1.2886488868612855,1.3924146649810365,1.3995552530065807
health, , , ,2.3650241312152995,0.05577499594879274,1.3591937474290414
oz, , , , ,0.12697435389439593,2.421508248020609
school, , , , , ,0.06876873126873129
women, , , , , , 
