genre,38
jungian,4
allegory,5
category,10
adult,49
coming,155
age,204
adventure,368
social,37
satire,7
setting,43
doubledystopia,2
futuristic,5
dystopia,6
subjects,11
responsibility,24
parallel,28
universes,8
mind,133
matter,65
manipulation,10
themes,32
vs,13
determinism,3
order,249
freedom,118
embracing,8
family,452
sacrifice,97
tags,2
postapocalyptic,17
realities,15
interdimensional,3
raven,22
fleeing,26
ever,482
knew,108
doesnt,87
care,30
headed,9
knows,294
get,193
caught,103
storm,88
thrown,58
upon,299
lone,26
pegasus,4
stallion,6
breaks,23
wing,10
unable,24
fly,20
stranded,14
mysterious,419
elusive,26
mare,20
named,181
mira,2
legendary,171
secret,442
could,533
saphirra,2
slowly,47
sucking,2
life,1180
mate,18
hell,135
swamp,7
writhing,1
kelpies,1
betrayers,5
earthquakes,4
sinkholes,1
finally,177
impossible,113
decision,43
heartwarming,4
exciting,58
youll,18
seat,15
entire,156
enchanting,36
third,108
installment,58
ages,78
8,7
wont,33
pry,1
eyes,108
pages,69
funds,3
earned,19
go,178
toward,81
authors,54
future,308
college,19
education,10
king,705
defeated,38
spirit,81
mantra,3
restored,15
suni,5
reunited,25
yet,356
quite,41
right,130
wanda,4
luna,9
valley,51
mountains,88
dragons,285
gifted,59
communicate,4
animals,36
ntombi,1
blames,6
lunas,1
condition,7
meanwhile,114
town,101
sea,138
fears,56
dear,43
watches,14
gift,91
many,289
sunis,1
suffer,13
strange,265
affliction,4
townspeople,5
blame,7
strangers,28
arrive,25
bringing,42
gifts,52
curses,5
anything,122
seems,190
alien,41
menace,26
galactic,3
proportions,13
starship,3
dreamer,2
crashlands,1
earth,313
2436,1
bce,2
responding,1
crash,11
primitive,7
earthlings,1
ships,30
commander,33
valerie,1
dunne,1
5000yearold,2
woman,313
nemesis,18
boecki,1
hiding,53
past,394
soon,287
rests,47
womans,15
harness,19
five,155
hesaurun,2
rings,38
heal,34
manipulate,7
somehow,42
alter,22
scifi,19
tale,351
good,279
evil,690
rescue,111
survival,101
betrayal,134
mankind,62
unlike,41
race,200
faced,73
burns,22
scope,26
greatest,209
novels,114
golden,62
weaving,15
huge,23
cast,90
humans,192
aliens,16
peter,53
harrett,1
crafted,26
galaxy,21
21st,11
century,77
believe,108
immense,23
ancient,644
mindbending,6
monsters,132
spawned,5
powerful,474
civilization,57
stuck,10
medieval,53
times,227
1000,5
years,605
humankind,28
training,87
knight,146
simple,90
prophesied,29
remove,9
become,388
fulfill,61
long,437
enough,191
legend,182
mystic,35
knights,83
debut,63
w,24
rusho,1
combining,11
elements,37
realistic,6
accounts,4
living,166
created,88
entertains,4
educates,1
ghosts,39
ulysses,3
come,373
haunt,27
heinrich,2
onetime,3
returned,78
perigord,1
well,233
kava,1
blacksmith,6
old,429
friend,217
intentions,10
unclear,4
jason,25
selene,1
threatened,57
wendy,8
rothchild,1
scheming,18
student,41
agenda,13
contend,11
stone,127
goblins,36
killer,64
scarecrows,1
sorcerers,68
midnight,19
garden,18
least,61
two,675
portals,9
operation,7
connections,9
link,22
worlds,256
acacia,4
used,66
vastly,7
different,148
manners,4
samil,1
treats,3
prime,15
portal,24
gateway,20
fueling,3
desire,75
dominate,8
planets,14
eliminating,4
current,17
ruling,40
class,27
spells,47
halfdeads,1
emily,20
sees,62
pathway,2
road,57
knowledge,83
hopes,66
preserve,18
hierarchies,1
planet,92
system,28
governments,5
whatever,35
underlying,2
desires,35
stopping,22
approaching,13
everyone,136
hold,121
aien,1
surround,13
mighty,75
city,494
angelia,2
prince,351
cain,3
returns,116
exile,57
intent,40
taking,63
revenge,125
aged,9
sister,115
maria,4
currently,6
holds,105
danger,215
marias,1
son,275
alexander,17
brothers,80
destroys,16
fourteen,12
sworn,79
secrecy,13
identity,59
magic,1152
reigns,14
kingdom,463
elves,113
trolls,21
found,224
subhuman,2
creatures,176
cevarions,1
alexanders,2
nineteenth,2
birthday,43
reenters,1
magical,451
wrongs,8
uncle,40
tell,81
mage,165
everrolling,1
wave,13
washes,4
inevitably,10
solee,2
finds,447
surroundings,4
instantly,6
miraculously,7
changed,79
technology,50
science,116
ruled,90
known,320
governed,5
forces,368
enjoying,7
existence,97
rather,51
working,48
kitchen,7
sets,131
beer,2
annoy,3
along,170
old—all,1
joining,28
caravan,5
guard,72
lack,8
better,81
option,10
encounters,41
monstrous,31
undead,35
sentient,15
wolves,38
spiders,10
comfortably,2
poke,1
stick,5
far,287
subtle,18
comes…,1
however,155
deceit,25
beers,1
amount,4
vulgar,8
language,48
darkness,311
lay,39
spread,31
lightning,24
suddenly,92
sprang,6
forth,36
raced,2
clouds,18
single,60
point,39
blinding,3
flash,7
light,225
thunder,7
bolt,6
bigger,17
devin,4
seen,111
slammed,2
exploding,2
oak,7
smoking,6
shards,11
wood,25
flung,4
sky,57
directions,7
rained,2
splintery,1
burning,30
shrapnel,1
everywhere,27
sending,10
toppling,2
backward,4
orphan,38
clue,16
hed,23
much,214
less,57
festival,14
lights,13
masters,70
local,40
trades,2
convene,1
near,65
apprentices,3
destined,78
hard,71
work,190
clay,9
mines,14
longed,4
meant,48
something,219
accompanied,36
john,69
little,173
events,137
transpired,2
ago,178
going,94
directly,11
affect,12
humanity,134
avantae,1
rise,114
rouhn,1
first,776
trilogy,203
fastpaced,36
rich,81
complex,43
twice,4
whereas,1
written,109
adults,18
recommended,16
due,32
graphic,14
battles,97
difficult,43
plotlines,3
reader,71
9th,3
grade,10
15,10
suitable,8
