,acura,aspire,audi,bmw,infiniti,lexus
acura, ,1.482604986254621,2.8773126768955755,1.6884775808133472,3.403676669370101,3.385564595402924
aspire, , ,1.8394513649615687,1.7297657699443407,1.8180214846881515,1.5277415993748373
audi, , , ,2.2303206997084546,3.01451247165533,3.223846558680778
bmw, , , , ,2.4285714285714293,2.3094044207941056
infiniti, , , , , ,5.103788602355936
lexus, , , , , , 
